13:44:40.585 - === КАНБАН WPF ДЕМО-ВЕРСИЯ ЗАПУЩЕНА ===
13:44:41.087 - Окно загружено
13:47:04.751 - ЗНП изменен: 'О'
13:47:06.509 - ЗНП изменен: 'J'
13:47:07.671 - ЗНП изменен: 'J0'
13:47:07.820 - ЗНП изменен: 'J00'
13:47:07.988 - ЗНП изменен: 'J000'
13:47:08.148 - ЗНП изменен: 'J0000'
13:47:08.773 - ЗНП изменен: 'J00001'
13:47:09.004 - ЗНП изменен: 'J000018'
13:47:09.142 - ЗНП изменен: 'J0000188'
13:47:09.326 - ЗНП изменен: 'J00001886'
13:47:09.501 - ЗНП изменен: 'J000018869'
13:47:11.528 - Суффикс изменен: '2'
13:47:12.277 - Суффикс изменен: '26'
13:47:12.504 - Суффикс изменен: '260'
13:47:12.638 - Суффикс изменен: '2600'
13:47:13.598 - === НАЧАЛО ПРЕДПРОСМОТРА #1 ===
13:47:14.113 - Предпросмотр #1 создан
13:49:38.892 - === КАНБАН WPF ДЕМО-ВЕРСИЯ ЗАПУЩЕНА ===
13:49:39.131 - Окно загружено
13:49:39.945 - ЗНП изменен: 'ф'
13:49:40.014 - ЗНП изменен: 'фы'
13:49:40.112 - ЗНП изменен: 'фыв'
13:49:40.241 - ЗНП изменен: 'фывф'
13:49:40.334 - ЗНП изменен: 'фывфы'
13:49:40.383 - ЗНП изменен: 'фывфыв'
13:49:40.510 - ЗНП изменен: 'фывфывф'
13:49:40.583 - ЗНП изменен: 'фывфывфы'
13:49:40.638 - ЗНП изменен: 'фывфывфыв'
13:50:37.847 - === КАНБАН WPF ДЕМО-ВЕРСИЯ ЗАПУЩЕНА ===
13:50:38.062 - Окно загружено
13:50:40.317 - ЗНП изменен: '1'
13:50:40.422 - ЗНП изменен: '11'
13:50:40.495 - ЗНП изменен: '113'
13:50:40.590 - ЗНП изменен: '1131'
13:50:40.598 - ЗНП изменен: '11313'
13:50:40.862 - ЗНП изменен: '113133'
13:50:40.951 - ЗНП изменен: '1131331'
13:50:41.006 - ЗНП изменен: '11313313'
13:50:41.037 - ЗНП изменен: '113133138'
13:50:54.525 - === КАНБАН WPF ДЕМО-ВЕРСИЯ ЗАПУЩЕНА ===
13:50:54.696 - Окно загружено
13:50:55.962 - ЗНП изменен: '1'
13:50:56.047 - ЗНП изменен: '13'
13:50:56.087 - ЗНП изменен: '131'
13:50:56.224 - ЗНП изменен: '1311'
13:50:56.288 - ЗНП изменен: '13113'
13:50:56.293 - ЗНП изменен: '131132'
13:50:56.366 - ЗНП изменен: '1311321'
13:50:56.390 - ЗНП изменен: '13113213'
13:50:57.846 - Суффикс изменен: '1'
13:50:58.055 - Суффикс изменен: '13'
13:50:58.058 - Суффикс изменен: '132'
13:50:58.142 - Суффикс изменен: '1321'
13:50:58.217 - Суффикс изменен: '13213'
13:50:58.231 - Суффикс изменен: '132132'
13:50:58.302 - Суффикс изменен: '1321321'
13:50:58.377 - Суффикс изменен: '13213213'
13:50:58.472 - Суффикс изменен: '132132131'
13:50:58.519 - Суффикс изменен: '1321321313'
13:51:27.567 - === КАНБАН WPF ДЕМО-ВЕРСИЯ ЗАПУЩЕНА ===
